Issue-id,Title,Parameter,Issue-URL,Commit-URL,Type,Note
SPARK-21871,[SQL] Check actual bytecode size when compiling generated code,spark.sql.codegen.hugeMethodLimit,https://issues.apache.org/jira/browse/SPARK-21871,https://github.com/apache/spark/commit/4a779bdac3e75c17b7d36c5a009ba6c948fa9fb6,change functional usage,change maximum lines -> maximum bytecode size
SPARK-22062,[CORE] Spill large block to disk in BlockManager's remote fetch to avoid OOM,spark.maxRemoteBlockSizeFetchToMem,https://issues.apache.org/jira/browse/SPARK-22062,https://github.com/apache/spark/commit/e1960c3d6f380b0dfbba6ee5d8ac6da4bc29a698,change functional usage,"So here leveraging the idea of shuffle fetch, to spill the large block to local disk before consumed by upstream code. The behavior is controlled by newly added configuration, if block size is smaller than the threshold, then this block will be persisted in memory; otherwise it will first spill to disk, and then read from disk file."
SPARK-21501,Change CacheLoader to limit entries based on memory footprint,spark.shuffle.service.index.cache.entries,https://issues.apache.org/jira/browse/SPARK-21501,https://github.com/apache/spark/commit/1662e93119d68498942386906de309d35f4a135f,change functional usage,We should change this cache to be memory based and only allow a certain memory size used. When I say memory based I mean the cache should have a limit of say 100MB.
SPARK-27835,Resource Scheduling: change driver config from addresses,spark.driver.resourcesFile,https://issues.apache.org/jira/browse/SPARK-27835,https://github.com/apache/spark/commit/6748b486a9afe8370786efb64a8c9f3470c62dcf#,change functional usage,"Change the Driver resource discovery argument for standalone mode to be a file rather then separate address configs per resource. This makes it consistent with how the Executor is doing it and makes it more flexible in the future, and it makes for less configs if you have multiple resources."
CASSANDRA-14297,Startup checker should wait for count rather than percentage,block_for_peers_percentage,https://issues.apache.org/jira/browse/CASSANDRA-14297,https://github.com/apache/cassandra/commit/801cb70ee811c956e987718a00695638d5bec1b6#,change functional usage,"I proposed in that ticket instead of having `block_for_peers_percentage` defaulting to 70%, we instead have `block_for_peers` as a count of nodes that are allowed to be down before the starting node makes itself available as a coordinator."
HBASE-22803,Modify CONFIG value range to enable turning off of the hb……ck chore (#466),hbase.master.hbck.chore.interval,https://issues.apache.org/jira/browse/HBASE-22580,https://github.com/apache/hbase/commit/eb92b2565254a2783b8a6bfbb043cf7d01ab7ad,change functional usage,Let's add a config to turn it off so that operators can use it and do rolling restart when they want to stop this chore.
HDFS-13653,Make dfs.client.failover.random.order a per nameservice configuration,dfs.client.failover.random.order,https://issues.apache.org/jira/browse/HDFS-13653,https://github.com/apache/hadoop/commit/2e5cfe6df338c70965cfb0212a93617de3a6bd79,change param domain,This Jira is to make this configuration per-nameservice so that this can be configured independently for each nameservice.
HDFS-13852,RBF: The DN_REPORT_TIME_OUT and DN_REPORT_CACHE_EXPIRE should be configured in RBFConfigKeys.,DN_REPORT_TIME_OUT,https://issues.apache.org/jira/browse/HDFS-13852,https://github.com/apache/hadoop/commit/04caaba4884cdea9f3b97f819fe6599ab3d6f151,change param domain,"In the NamenodeBeanMetrics the router will invokes 'getDataNodeReport' periodically. And we can set the dfs.federation.router.dn-report.time-out and dfs.federation.router.dn-report.cache-expire to avoid time out. But when we start the router, the FederationMetrics will also invoke the method to get node usage. If time out error happened, we cannot adjust the parameter time_out. And the time_out in the FederationMetrics and NamenodeBeanMetrics should be the same."
HDFS-13852,RBF: The DN_REPORT_TIME_OUT and DN_REPORT_CACHE_EXPIRE should be configured in RBFConfigKeys.,DN_REPORT_CACHE_EXPIRE,https://issues.apache.org/jira/browse/HDFS-13852,https://github.com/apache/hadoop/commit/04caaba4884cdea9f3b97f819fe6599ab3d6f151,change param domain,"In the NamenodeBeanMetrics the router will invokes 'getDataNodeReport' periodically. And we can set the dfs.federation.router.dn-report.time-out and dfs.federation.router.dn-report.cache-expire to avoid time out. But when we start the router, the FederationMetrics will also invoke the method to get node usage. If time out error happened, we cannot adjust the parameter time_out. And the time_out in the FederationMetrics and NamenodeBeanMetrics should be the same."
HDFS-9388,Decommission related code to support Maintenance State for datanodes,dfs.namenode.decommission.interval,https://issues.apache.org/jira/browse/HDFS-9388,https://github.com/apache/hadoop/commit/79df1e750ef558afed6d166ce225a23061b36aed,change param domain,"Lots of code can be shared between the existing decommission functionality and to-be-added maintenance state support for datanodes. To make it easier to add maintenance state support, let us first modify the existing code to make it more general."
HDFS-9388,Decommission related code to support Maintenance State for datanodes,dfs.namenode.decommission.blocks.per.interval,https://issues.apache.org/jira/browse/HDFS-9388,https://github.com/apache/hadoop/commit/79df1e750ef558afed6d166ce225a23061b36aed,change param domain,"In the NamenodeBeanMetrics the router will invokes 'getDataNodeReport' periodically. And we can set the dfs.federation.router.dn-report.time-out and dfs.federation.router.dn-report.cache-expire to avoid time out. But when we start the router, the FederationMetrics will also invoke the method to get node usage. If time out error happened, we cannot adjust the parameter time_out. And the time_out in the FederationMetrics and NamenodeBeanMetrics should be the same."
