Issue-id,Param,Title,Issue-URL,Commit-URL,Param-type,new scenario/use case,Old/New value,Impact,Note,How to choose new value
HBASE-19148,hbase.regionserver.hlog.blocksize,Reevaluate default values of CONFIGurations,https://issues.apache.org/jira/browse/HBASE-19148,https://github.com/apache/hbase/commit/4d6b928682cc2a17f3dfd0179fb3fd46fd9e0a1f,block size,workload: write load was significant,DefaultBlockSize -> 2*DefaultBlockSize,resource overuse: extra fractional blocks,"We found it better to just bump up the block size, and make this low enough to be sure we never exceeded the block. Then in all the files were no larger or more frequent, but less extra fractional blocks. Maybe we should just increase the block size for the WAL files along with turning down the logroll multiplier.",fix bugs
HBASE-19148,hbase.regionserver.logroll.multiplier,Reevaluate default values of CONFIGurations,https://issues.apache.org/jira/browse/HBASE-19148,https://github.com/apache/hbase/commit/4d6b928682cc2a17f3dfd0179fb3fd46fd9e0a1f,multiplier,workload: write load was significant,0.95 - 0.5,resource overuse: many log files that had a little bit more than 1 HDFS block worth of data,"With the default of 0.95, whenever write load was significant, we saw many log files that had a little bit more than 1 HDFS block worth of data. Seemed a waste.",no discussion
SPARK-25904,spark.storage.memoryMapLimitForTests,Allocate arrays smaller than Int.MaxValue,https://issues.apache.org/jira/browse/SPARK-25904,https://github.com/apache/spark/commit/8fbc1830f962c446b915d0d8ff2b13c5c75d22fc,chuck size,workload: Replicating a block > 2GB,Int.MaxValue -> Integer.MAX_VALUE - 15,failure: OOM Requested array size exceeds VM limit,"In a few places spark can try to allocate arrays as big as Int.MaxValue, but thats actually too big for the JVM. We should consistently use ByteArrayMethods.MAX_ROUNDED_ARRAY_LENGTH instead. Replicating a block > 2GB currently fails because it tries to allocate a bytebuffer that is just a bit too large",fix bugs
SPARK-25904,spark.sql.sortMergeJoinExec.buffer.in.memory.threshold,Allocate arrays smaller than Int.MaxValue,https://issues.apache.org/jira/browse/SPARK-25904,https://github.com/apache/spark/commit/8fbc1830f962c446b915d0d8ff2b13c5c75d22fc,threshold,workload: Replicating a block > 2GB,Int.MaxValue -> Integer.MAX_VALUE - 15,failure: OOM Requested array size exceeds VM limit,"In a few places spark can try to allocate arrays as big as Int.MaxValue, but thats actually too big for the JVM. We should consistently use ByteArrayMethods.MAX_ROUNDED_ARRAY_LENGTH instead. Replicating a block > 2GB currently fails because it tries to allocate a bytebuffer that is just a bit too large",fix bugs
SPARK-25904,spark.sql.execution.topKSortFallbackThreshold,Allocate arrays smaller than Int.MaxValue,https://issues.apache.org/jira/browse/SPARK-25904,https://github.com/apache/spark/commit/8fbc1830f962c446b915d0d8ff2b13c5c75d22fc,threshold,workload: Replicating a block > 2GB,Int.MaxValue -> Integer.MAX_VALUE - 15,failure: OOM Requested array size exceeds VM limit,"In a few places spark can try to allocate arrays as big as Int.MaxValue, but thats actually too big for the JVM. We should consistently use ByteArrayMethods.MAX_ROUNDED_ARRAY_LENGTH instead.",fix bugs
SPARK-24805,avro.mapred.ignore.inputs.without.extension,[SQL] Do not ignore avro files without extensions by default,https://issues.apache.org/jira/browse/SPARK-24805,https://github.com/apache/spark/commit/ba437fc5c73b95ee4c59327abf3161c58f64cb12,feature selection,workload: Other systems can create avro files without extensions,true -> false,unexpected result: get just partitial results silently,"Currently to read files without .avro extension, users have to set the flag avro.mapred.ignore.inputs.without.extension to false (by default it is true). Other systems can create avro files without extensions. When users try to read such files, they get just partitial results silently. The behaviour may confuse users. Current behavior is different behavior from another supported datasource CSV and JSON.",/
HBASE-19148,hbase.master.fileSplitTimeout,Reevaluate default values of CONFIGurations,https://issues.apache.org/jira/browse/HBASE-19148,https://github.com/apache/hbase/commit/4d6b928682cc2a17f3dfd0179fb3fd46fd9e0a1f,timeout,workload: large regions under load,30s -> 10m,perf: gets stuck in a cycle where they fail worse,"Painful when the largest region splits are the ones that fail, and gets stuck in a cycle where they fail worse. suggested by production experience(not enough for some large regions under load)",no discussion
HBASE-21000,hbase.hstore.compaction.throughput.higher.bound,Default limits for PressureAwareCompactionThroughputController are too low,https://issues.apache.org/jira/browse/HBASE-21000,https://github.com/apache/hbase/commit/6d08ffcfc6e646751b35b111389403329b121c89,threshold,workload: In fairly light load scenarios,20L * 1024 * 1024 -> 100L * 1024 * 1024,failure: RegionTooBusy exceptions,"In fairly light load scenarios we see compaction quickly falls behind and write clients are backed off or failing due to RegionTooBusy exceptions. Although compaction throughput becomes unbounded after the store reaches the blocking file count, in the lead up to this the default settings do not provide enough bandwidth to stave off blocking.",performance test
HBASE-21000,hbase.hstore.compaction.throughput.lower.bound,Default limits for PressureAwareCompactionThroughputController are too low,https://issues.apache.org/jira/browse/HBASE-21000,https://github.com/apache/hbase/commit/6d08ffcfc6e646751b35b111389403329b121c89,threshold,workload: In fairly light load scenarios,10L * 1024 * 1024 -> 50L * 1024 * 1024,failure: RegionTooBusy exceptions,"In fairly light load scenarios we see compaction quickly falls behind and write clients are backed off or failing due to RegionTooBusy exceptions. Although compaction throughput becomes unbounded after the store reaches the blocking file count, in the lead up to this the default settings do not provide enough bandwidth to stave off blocking.",performance test
HBASE-19148,hbase.master.loadbalance.bytable,Reevaluate default values of CONFIGurations,https://issues.apache.org/jira/browse/HBASE-19148,https://github.com/apache/hbase/commit/4d6b928682cc2a17f3dfd0179fb3fd46fd9e0a1f,feature selection,workload: If running with tables with different workloads or profiles,false -> true -> false,resource problem,"If running with tables with different workloads or profiles, it can be surprising to find a single table very unbalanced on the cluster",/
