Issue link,Commit link,change mode,Title,param_name
HDFS-11975,https://github.com/apache/hadoop/commit/a53b8b6fdce111b1e35ad0dc563eb53d1c58462f,Add CodeChange,Provide a system-default EC policy.,dfs.namenode.ec.system.default.policy
HDFS-14017,https://github.com/apache/hadoop/commit/a3aab48df0b99f70f6f66474255fe06141894b6e,Add CodeChange,ObserverReadProxyProviderWithIPFailover should work with HA configuration,DFS_CLIENT_FAILOVER_IPFAILOVER_VIRTUAL_ADDRESS
HDFS-11799,https://github.com/apache/hadoop/commit/fda1221c55101d97ac62e1ee4e3ddf9a915d5363,Add CodeChange,Introduce a **CONFIG** to allow setting up write pipeline with fewer nodes than replication factor.,dfs.client.block.write.replace-datanode-on-failure.min-replication
HDFS-11887,https://github.com/apache/hadoop/commit/d6dd557b24201720adec5794737a3c25a5ed6ba2,Add CodeChange,Shared XceiverClient should be closed if there is no open clients to avoid resource leak.,scm.container.client.max.size
HDFS-12802,https://github.com/apache/hadoop/commit/d9006d8a4e34eae78dfa1cf3be50eeb81c2fc11f,Add CodeChange,RBF: Control MountTableResolver cache size,FEDERATION_MOUNT_TABLE_MAX_CACHE_SIZE
HDFS-12978,https://github.com/apache/hadoop/commit/ebe5853a458150b7e42fe7434851bfcbe25e354d,Add CodeChange,Fine-grained locking while consuming journal stream,dfs.ha.tail-edits.max-txns-per-lock
HDFS-13119,https://github.com/apache/hadoop/commit/8896d20b91520053a6bbfb680adb345cd24f4142,Add CodeChange,RBF: Manage unavailable clusters. Contributed by Yiqun Lin.,dfs.federation.router.client.retry.max.attempts dfs.federation.router.client.thread-size
HDFS-13536,https://github.com/apache/hadoop/commit/1804a31515e541b3371925aa895589919b54d443,Add CodeChange,[PROVIDED Storage] HA for InMemoryAliasMap. ,dfs.provided.aliasmap.inmemory.rpc.bind-host
HDFS-13882,https://github.com/apache/hadoop/commit/10185d9a77ce07080588f3c77399a07cd7ccf427,Add CodeChange,Set a maximum delay for retrying locateFollowingBlock.,dfs.client.block.write.locateFollowingBlock.max.delay.ms
HDFS-12904,https://github.com/apache/hadoop/commit/72d8b92ba5bdc5dc0cf434d06d90fb0b1810fec,Add CodeChange, Add DataTransferThrottler to the Datanode transfers.,dfs.datanode.data.transfer.bandwidthPerSec
HDFS-14973,https://github.com/apache/hadoop/commit/b2cc8b6b4a78f31cdd937dc4d1a2255f80c5881,Add CodeChange, More strictly enforce Balancer/Mover/SPS throttling of getBlocks RPCs to NameNodes. ,dfs.namenode.get-blocks.max-qps
HDFS-14651,https://github.com/apache/hadoop/commit/9b6906fe914829f50076c2291dba59d425475d7,Add CodeChange, DeadNodeDetector checks dead node periodically,"dfs.client.deadnode.detection.probe.connection.timeout.ms, dfs.client.deadnode.detection.probe.deadnode.interval.ms, dfs.client.deadnode.detection.rpc.threads, dfs.client.deadnode.detection.probe.deadnode.threads, dfs.client.deadnode.detection.deadnode.queue.max"
HDFS-14649,https://github.com/apache/hadoop/commit/c8bef4d6a6d7d5affd00cff6ea4a2e2ef778050,Add CodeChange, Add suspect probe for DeadNodeDetector. ,"dfs.client.deadnode.detection.suspectnode.queue.max, dfs.client.deadnode.detection.probe.suspectnode.threads, dfs.client.deadnode.detection.probe.suspectnode.interval.ms"
HDFS-14854,https://github.com/apache/hadoop/commit/c93cb6790e0f1c64efd03d859f907a052201089,Add CodeChange, Create improved decommission monitor implementation.,"dfs.namenode.decommission.monitor.class, dfs.namenode.decommission.backoff.monitor.pending.limit, dfs.namenode.decommission.backoff.monitor.pending.blocks.per.lock, DFS.NAMENODE.DECOMMISSION.MAX.CONCURRENT.TRACKED.NODES"
HDFS-2470,https://github.com/apache/hadoop/commit/07e3cf952eac9e47e7bd5e195b0f9fc28c46831,Add CodeChange, NN should automatically set permissions on dfs.namenode.*.dir. ,"dfs.namenode.storage.dir.perm, dfs.journalnode.edits.dir.perm"
HDFS-14795,https://github.com/apache/hadoop/commit/f580a87079bb47bf92d254677745d067b6bc8fd,Add CodeChange, Add Throttler for writing block. ,dfs.datanode.data.write.bandwidthPerSec
HDFS-10480,https://github.com/apache/hadoop/commit/fb68980959f95f0d89e86f91909867724ad01791,Add NewCode,Add an admin command to list currently open files,dfs.namenode.list.openfiles.num.responses
HDFS-10631,https://github.com/apache/hadoop/commit/7cb6bdf09ed361e067ebf234230babd1391a7d4b,Add NewCode,Federation State Store ZooKeeper implementation.,FEDERATION_STORE_ZK_PARENT_PATH
HDFS-10646,https://github.com/apache/hadoop/commit/b3e6bd22e3c02b3e4f50396538f56a1bcb007638,Add NewCode,Federation admin tool.,DFS_ROUTER_STORE_ENABLE DFS_ROUTER_ADMIN_ENABLE
HDFS-10687,https://github.com/apache/hadoop/commit/55da7fd7ebe2f3fa1c1c828dda727fddc75a1b81,Add NewCode,Federation Membership State Store internal API.,dfs.federation.router.cache.ttl dfs.federation.router.store.membership.expiration
HDFS-10899,https://github.com/apache/hadoop/commit/1000a2af04b24c123a3b08168f36b4e90420cab7,Add NewCode,Add functionality to re-encrypt EDEKs.,dfs.namenode.list.reencryption.status.num.responses dfs.namenode.reencrypt.sleep.interval dfs.namenode.reencrypt.batch.size dfs.namenode.reencrypt.batch.size dfs.namenode.reencrypt.throttle.limit.handler.ratio dfs.namenode.reencrypt.edek.threads dfs.namenode.reencrypt.throttle.limit.updater.ratio
HDFS-11789,https://github.com/apache/hadoop/commit/6d116ffad23b470f8e9ca131d8e89cbbbb4378d7,Add NewCode,Maintain Short-Circuit Read Statistics,METRICS_SAMPLING_PERCENTAGE_KEY
HDFS-11826,https://github.com/apache/hadoop/commit/d8c81073320320a019fb3868be4f06f46aebea43,Add NewCode,Federation Namenode Heartbeat.,DFS_ROUTER_HEARTBEAT_ENABLE DFS_ROUTER_HEARTBEAT_INTERVAL_MS DFS_ROUTER_MONITOR_NAMENODE
HDFS-12273,https://github.com/apache/hadoop/commit/81601dac8ec7650bec14700b174910390a92fe1f,Add NewCode,Federation UI,DFS_ROUTER_HTTP_ENABLE DFS_ROUTER_HTTP_ADDRESS_KEY DFS_ROUTER_HTTP_BIND_HOST_KEY DFS_ROUTER_HTTPS_ADDRESS_KEY DFS_ROUTER_HTTPS_BIND_HOST_KEY
HDFS-12291,https://github.com/apache/hadoop/commit/bfd3f8bd8a9ae2186ec3e4addc71f912ec7b8923,Add NewCode,Provide a mechanism to recursively iterate and satisfy storage policy of all the files under the given dir.,dfs.storage.policy.satisfier.queue.limit dfs.storage.policy.satisfier.work.multiplier.per.iteration
HDFS-12335,https://github.com/apache/hadoop/commit/bc9e588a19c0aaf518de8dab719362be4a8d6a54,Add NewCode,Federation Metrics.,DFS_ROUTER_METRICS_ENABLE DFS_ROUTER_METRICS_CLASS
HDFS-12591,https://github.com/apache/hadoop/commit/b634053c4daec181511abb314aeef0a8fe851086,Add NewCode,[READ] Implement LevelDBFileRegionFormat.,dfs.provided.aliasmap.leveldb.read.path
HDFS-12665,https://github.com/apache/hadoop/commit/352f994b6484524cdcfcda021046c59905b62f31,Add NewCode,[AliasMap] Create a version of the AliasMap that runs in memory in the Namenode (leveldb).,dfs.provided.aliasmap.inmemory.dnrpc-address dfs.provided.aliasmap.inmemory.leveldb.dir dfs.provided.aliasmap.inmemory.batch-size dfs.provided.aliasmap.inmemory.enabled
HDFS-12934,https://github.com/apache/hadoop/commit/d98a2e6e2383f8b66def346409b0517aa32d298d,Add NewCode,RBF: Federation supports global quota.,DFS_ROUTER_QUOTA_ENABLE DFS_ROUTER_QUOTA_CACHE_UPATE_INTERVAL
HDFS-13022,https://github.com/apache/hadoop/commit/377b31ffa1234889d55c1d15832c87bfcef818ba,Add NewCode,Block Storage: Kubernetes dynamic persistent volume provisioner.,dfs.cblock.kubernetes.dynamic-provisioner.enabled dfs.cblock.kubernetes.cblock-user dfs.cblock.kubernetes.configfile dfs.cblock.iscsi.advertised.ip dfs.cblock.iscsi.advertised.port
HDFS-13042,https://github.com/apache/hadoop/commit/7721fff74494eb7fbbbba7f8bb4b4692d880d301,Add NewCode,RBF: Heartbeat Router State.,dfs.federation.router.heartbeat-state.interval dfs.federation.router.expiration
HDFS-13044,https://github.com/apache/hadoop/commit/dbb9dded33b3cff3b630e98300d30515a9d1eec4,Add NewCode,RBF: Add a safe mode for the Router.,DFS_ROUTER_SAFEMODE_ENABLE DFS_ROUTER_SAFEMODE_EXTENSION DFS_ROUTER_SAFEMODE_EXPIRATION
HDFS-13056,https://github.com/apache/hadoop/commit/7c9cdad6d04c98db5a83e2108219bf6e6c903daf,Add NewCode,Expose file-level composite CRCs in HDFS which are comparable across different instances/layouts.,dfs.checksum.combine.mode
HDFS-13060,https://github.com/apache/hadoop/commit/af015c0b2359be317132e2cf35735429f4f34ea7,Add NewCode,Adding a BlacklistBasedTrustedChannelResolver for Trusted ChannelResolver,dfs.datatransfer.server.fixedBlackList.file dfs.datatransfer.server.variableBlackList.enable dfs.datatransfer.server.variableBlackList.file dfs.datatransfer.server.variableBlackList.cache.secs dfs.datatransfer.client.fixedBlackList.file dfs.datatransfer.client.variableBlackList.enable dfs.datatransfer.client.variableBlackList.file dfs.datatransfer.client.variableBlackList.cache.secs
HDFS-13077,https://github.com/apache/hadoop/commit/d3de4fb2a084cbadab8ef91f11aa7732d3b0f308,Add NewCode,[SPS]: Fix review comments of external storage policy satisfier.,dfs.storage.policy.satisfier.max.outstanding.paths dfs.storage.policy.satisfier.address dfs.storage.policy.satisfier.keytab.file dfs.storage.policy.satisfier.kerberos.principal
HDFS-13166,https://github.com/apache/hadoop/commit/75ccc1396b677777cdc0d4992a4af3911f9f88c2,Add NewCode,Implement caching mechanism to keep LIVE datanodes to minimize costly getLiveDatanodeStorageReport() calls.,dfs.storage.policy.satisfier.datanode.cache.refresh.interval.ms
HDFS-13224,https://github.com/apache/hadoop/commit/e71bc00a471422ddb26dd54e706f09f0fe09925c,Add NewCode,RBF: Resolvers to support mount points across multiple subclusters.,MIN_UPDATE_PERIOD_KEY
HDFS-13291,https://github.com/apache/hadoop/commit/cfc3a1c8f06fba4f4bd5ffe8bb2a6944d066948e,Add NewCode,RBF: Implement available space based OrderResolver.,BALANCER_PREFERENCE_KEY
HDFS-13347,https://github.com/apache/hadoop/commit/a71656c1c1bf6c680f1382a76ddcac870061f320,Add NewCode,RBF: Cache datanode reports,DN_REPORT_TIME_OUT DN_REPORT_CACHE_EXPIRE
HDFS-13358,https://github.com/apache/hadoop/commit/75f8b6ccfa6160e695ce8f7ad13c6e3624e9e7aa,Add NewCode,RBF: Support for Delegation Token (RPC),dfs.federation.router.secret.manager.class
HDFS-13443,https://github.com/apache/hadoop/commit/8f6f9d9c8398567064c9369f48213db63f45538c,Add NewCode,RBF: Update mount table cache immediately after changing (add/update/remove) mount table entries.,dfs.federation.router.mount-table.cache.update dfs.federation.router.mount-table.cache.update.timeout dfs.federation.router.mount.table.cache.update.client.max.time
HDFS-13547,https://github.com/apache/hadoop/commit/1b0d4f4606adc78a5e43a924634d3d8506db26fa,Add NewCode,Add ingress port based sasl resolver.,ingress.port.sasl.configured.ports
HDFS-13566,https://github.com/apache/hadoop/commit/635786a511344b53b1d3f25c2f29ab5298f6ac74,Add NewCode,Add **CONFIG**urable additional RPC listener to NameNode.,dfs.namenode.rpc-address.auxiliary-ports
HDFS-13607,https://github.com/apache/hadoop/commit/c81ac2ff0220b180cd6cbbf18221290c3783bfd5,Add NewCode,Enhance JournalNode with an in-memory cache of recent edit transactions,dfs.journalnode.edit-cache-size.bytes
HDFS-13609,https://github.com/apache/hadoop/commit/00e99c65943e64fd696ec715cf21e851b93115f1,Add NewCode,NameNode-side changes to support tailing edits via RPC,dfs.ha.tail-edits.qjm.rpc.max-txns dfs.ha.tail-edits.in-progress
HDFS-13617,https://github.com/apache/hadoop/commit/024c87291cb4cc67282fe5645fb827427cc581c6,Add NewCode,Allow wrapping NN QOP into token in encrypted message.,dfs.namenode.send.qop.enabled
HDFS-13699,https://github.com/apache/hadoop/commit/626fec652b9f3dae10c9af78fd220b1240f19fc7,Add NewCode,Add DFSClient sending handshake token to DataNode and allow DataNode overwrite downstream QOP.,dfs.encrypt.data.overwrite.downstream.new.qop
HDFS-13768,https://github.com/apache/hadoop/commit/5689355783de005ebc604f4403dc5129a286bfca,Add NewCode,Adding replicas to volume map makes DataNode start slowly,dfs.datanode.volumes.replica-add.threadpool.size
HDFS-14118,https://github.com/apache/hadoop/commit/f7a27cdee4e6829ebea4ea965e549a27acbf4310,Add NewCode,Support using DNS to resolve nameservices to IP addresses,dfs.client.failover.resolver.impl dfs.client.failover.resolve-needed
HDFS-14211,https://github.com/apache/hadoop/commit/55b3a718e95e62cdd01789050376b36d8e6a0f20,Add NewCode,"[Consistent Observer Reads] Allow for configurable ""always msync"" mode",observer.auto-msync-period
HDFS-14234,https://github.com/apache/hadoop/commit/101d5b5f865f94e4772051ea8ce4ee0f92ddedca,Add NewCode,Limit WebHDFS to specifc user host directory triples,dfs.datanode.httpserver.filter.handlers
HDFS-14316,https://github.com/apache/hadoop/commit/6c42d4050461ab71c88f123569649793dc53aebd,Add NewCode,RBF: Support unavailable subclusters for mount points with multiple destinations,dfs.federation.router.client.mount-status.time-out dfs.federation.router.connect.max.retries.on.timeouts dfs.federation.router.connect.timeout
HDFS-14327,https://github.com/apache/hadoop/commit/7b5b783f66f32012c00bef7593851392dd8cf2d5,Add NewCode,Using FQDN instead of IP to access servers with DNS resolving.,dfs.client.failover.resolver.useFQDN
HDFS-14355,https://github.com/apache/hadoop/commit/35ff31dd9462cf4fb4ebf5556ee8ae6bcd7c5c3a,Add NewCode,Implement HDFS cache on SCM by using pure java mapped byte buffer,dfs.datanode.cache.loader.class dfs.datanode.cache.pmem.dirs dfs.datanode.cache.pmem.capacity
HDFS-14403,https://github.com/apache/hadoop/commit/129576f628d370def74e56112aba3a93e97bbf70,Add NewCode,Cost-based extension to the RPC Fair Call Queue.,cost-provider.impl
