Issue ID,Commit Link,Title
SPARK-24794,https://github.com/apache/spark/commit/002f9c169eb20b0d71b6d0296595f343c7f5bab2,DriverWrapper should have both master addresses in -Dspark.master
SPARK-24337,https://github.com/apache/spark/commit/0053e153faaa76ea38c845adab137d5be970e5af,[CORE] Improve error messages for Spark conf values
SPARK-24003,https://github.com/apache/spark/commit/007ae6878f4b4defe1f08114212fa7289fc9ee4a,[CORE] Add support to provide spark.executor.extraJavaOptions in terms of App Id and/or Executor Id's
SPARK-21786,https://github.com/apache/spark/commit/00d169156d4b1c91d2bcfd788b254b03c509dc41,[SQL] The 'spark.sql.parquet.compression.codec' and 'spark.sql.orc.compression.codec' configuration doesn't take effect on hive table writing
SPARK-22845,https://github.com/apache/spark/commit/0114c89d049724b95f7823b957bf33790216316b,[SCHEDULER] Modify spark.kubernetes.allocation.batch.delay to take time instead of int
SPARK-22233,https://github.com/apache/spark/commit/014dc8471200518d63005eed531777d30d8a6639,[CORE] Allow user to filter out empty split in HadoopRDD
SPARK-25501,https://github.com/apache/spark/commit/0166c7373eee2654c49c210927e4e290d103f24f,Add kafka delegation token support.
SPARK-24737,https://github.com/apache/spark/commit/01fcba2c685be0603a404392685e9d52fb4cb82a,[SQL] Type coercion between StructTypes
SPARK-24638,https://github.com/apache/spark/commit/03545ce6de08bd0ad685c5f59b73bc22dfc40887,[SQL] StringStartsWith support push down
SPARK-23310,https://github.com/apache/spark/commit/03b7e120dd7ff7848c936c7a23644da5bd7219ab,[CORE] Turn off read ahead input stream for unshafe shuffle reader
SPARK-24586,https://github.com/apache/spark/commit/03c9e8adeece2c371cef9e442f8630c52e09ecfb,Upcast should not allow casting from string to other types
SPARK-22535,https://github.com/apache/spark/commit/03f2b7bff7e537ec747b41ad22e448e1c141f0dd,[PYSPARK] Sleep before killing the python worker in PythonRunner.MonitorThread
SPARK-24793,https://github.com/apache/spark/commit/05168e725d2a17c4164ee5f9aa068801ec2454f4,Enhance spark-submit for app management
SPARK-21343,https://github.com/apache/spark/commit/062c336d06a0bd4e740a18d2349e03e311509243,Refine the document for spark.reducer.maxReqSizeShuffle……ToMem.
SPARK-20981,https://github.com/apache/spark/commit/06c0544113ba77857c5cb1bbf94dcaf21d0b01af,Add new configuration spark.jars.repositor……ies as equivalence of --repositories
SPARK-27088,https://github.com/apache/spark/commit/074533334d01afdd7862a1ac6c5a7a672bcce3f8,"Apply conf ""spark.sql.optimizer.planChangeLog.level"" to batch plan change in RuleExecutor"
SPARK-25140,https://github.com/apache/spark/commit/07737c87d6086c986785ff0edc43ca94effa4fc6,Catch correct exceptions when expr codegen fails
SPARK-17788,https://github.com/apache/spark/commit/079a2609d7ad0a7dd2ec3eaa594e6ed8801a8008,[SPARK-21033][SQL] fix the potential OOM in UnsafeExternalSorter and ShuffleExternalSorter
SPARK-21033,https://github.com/apache/spark/commit/083cf223569b7896e35ff1d53a73498a4971b28d,][CORE][FOLLOW-UP] Update Spillable
SPARK-22520,https://github.com/apache/spark/commit/087879a77acb37b790c36f8da67355b90719c2dc,[SQL] Support code generation for large CaseWhen
SPARK-27868,https://github.com/apache/spark/commit/09ed64d795d3199a94e175273fff6fcea6b52131,[CORE] Better default value and documentation for socket server backlog.
SPARK-23362,https://github.com/apache/spark/commit/0a73aa31f41c83503d5d99eff3c9d7b406014ab3,[SS] Migrate Kafka Microbatch source to v2
SPARK-22994,https://github.com/apache/spark/commit/0b2eefb674151a0af64806728b38d9410da552ec,[K8S] Use a single image for all Spark containers.
SPARK-21728,https://github.com/apache/spark/commit/0bdbefe9dd1e7c95c58ea6b52d3b264794abbc0e,"[CORE] Follow up: fix user config, auth in SparkSubmit logging"
SPARK-26205,https://github.com/apache/spark/commit/0c23a39384b7ae5fb4aeb4f7f6fe72007b84bbd2,"Optimize InSet expression for bytes, shorts, ints, dates"
